STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXP,EMXT,PRCP,TAVG,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/1/1,-9.4,50.8,22.2,66,7,11.9,2.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/2/1,-4.4,40.4,20,108.4,7.1,12.5,1.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/3/1,-3.9,44.5,25,87.7,9,14.6,3.4
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/4/1,-1.1,25.7,28.3,65.7,15.5,21.9,9.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/5/1,7.2,21.1,30.6,94.7,19.2,25.2,13.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/6/1,14.4,39.1,36.1,72.2,24.4,29.7,19.1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/7/1,18.3,27.4,39.4,112.1,27.8,33.4,22.3
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/8/1,17.8,38.1,36.1,59.7,26.9,32.1,21.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/9/1,12.8,40.6,35,44.2,24.3,30.5,18.1
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/10/1,1.1,16.8,28.3,72.1,16.3,22.3,10.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/11/1,-6.7,44.7,26.7,127.4,11.9,18.6,5.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2005/12/1,-5.6,40.9,18.9,129.6,4.9,11,-1.2
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2006/1/1,-3.9,12.2,22.2,57.1,8.6,14.4,2.9
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2006/2/1,-6.1,18,21.1,49.5,5.4,11.3,-0.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2006/3/1,-2.8,25.4,28.3,37.3,10.1,16.5,3.6
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",WAKE,35.79082,-78.69875,121.9,2006/4/1,1.7,16.5,32.2,64.7,16.8,24.3,9.3
